Employee_Name,Email_Address,Phone_Number
Leighton,something@helpinghands.cm,681461583
Gloria,something@helpinghands.cm,660202179
Amalia,something@helpinghands.cm,690175144
Agatha,something@helpinghands.cm,674356934
Alfie-Lee,something@helpinghands.cm,655422343
Constance,something@helpinghands.cm,664328903
Alfie-Jay,something@helpinghands.cm,672345234
Eamonn,something@helpinghands.cm,651234879
Shaunna,something@helpinghands.cm,693452343
Nichole,something@helpinghands.cm,672354578
Fahin,something@helpinghands.cm,672456425
Harris,something@helpinghands.cm,692443212
Merrill,something@helpinghands.cm,678901234
Ford,something@helpinghands.cm,698765432
Hines,something@helpinghands.cm,654312346
Rankin,something@helpinghands.cm,689341413
Munro,something@helpinghands.cm,678932131
Bain,something@helpinghands.cm,633224455
Jill,something@helpinghands.cm,622338877
Johnathon,something@helpinghands.cm,665544890
Felicia,something@helpinghands.cm,623456789
Philip,something@helpinghands.cm,678332567
Lyons,something@helpinghands.cm,674839094
Thomas,something@helpinghands.cm,652098483
Fountain,something@helpinghands.cm,692398034
Browning,something@helpinghands.cm,658233452
Duarte,something@helpinghands.cm,673943023
Singleton,something@helpinghands.cm,651034322
Ayala,something@helpinghands.cm,654930912
Bonner,something@helpinghands.cm,675393832
